Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
VLA-A (Nagar et al. 2001),5000000000.0,0.8,0.155,0.0029999999999999996
VLA-A avg,8400000000.0,0.8,0.25367999999999996,0.00168
VLA-A,8400000000.0,0.8,0.26459999999999995,0.01344
VLA-A avg,15000000000.0,0.8,0.40499999999999997,0.015000000000000003
VLA-A,22000000000.0,0.8,0.44,0.022000000000000002
