Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
ALMA,93700000000.0,0.3,1.70534,0.05621999999999999
ALMA,108000000000.0,0.34,2.0627999999999997,0.054000000000000006
ALMA,221000000000.0,0.7,3.602299999999999,0.0663
ALMA,252000000000.0,0.8,3.5784,0.05040000000000001
ALMA,286000000000.0,0.9,3.6608,0.0572
ALMA,350000000000.0,1.1,3.36,0.07
ALMA,635000000000.0,2,2.7304999999999997,0.5714999999999999
