# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
2.469715650721447664e-01,3.155264172082252477e-12,6.175890357653975819e-14
2.356988957354503589e-01,3.137905022474732560e-12,1.075183762989307064e-13
2.254105135645518843e-01,3.186136901984219912e-12,6.535435595605874872e-14
2.159828769832420337e-01,3.234457985723786733e-12,6.016849661731030619e-14
2.073122917084629369e-01,3.210809415473951179e-12,6.085015814758168601e-14
1.993110785184778466e-01,3.249109966153601891e-12,6.588386752553095336e-14
1.919045960441538301e-01,3.243644176845566050e-12,6.099859799109857439e-14
1.850289039780088629e-01,3.265025068353491755e-12,5.605905438635040568e-14
1.786289115302006347e-01,3.427704692607791719e-12,3.928546517145237165e-13
1.726568974953009983e-01,3.120622678229805880e-12,8.558065780251360248e-14
1.670474957824045759e-01,3.242197224445575805e-12,5.373155844985033461e-14
1.599131358141382131e-01,3.200017652037679656e-12,5.373441929496897145e-14
1.522513638175997108e-01,3.194070052734773780e-12,4.797540309359542643e-14
1.452903288513009428e-01,3.202439449936743624e-12,5.898813265271425879e-14
1.389380872185903559e-01,3.213943879032270570e-12,7.993358581145340013e-14
1.331181086803139846e-01,3.190965404988875972e-12,5.177648822246209096e-14
1.277661760646882638e-01,3.217212321888006696e-12,6.146033436565265592e-14
1.228280043900082386e-01,3.237753351255348288e-12,5.262830360248470499e-14
1.182573919246248106e-01,3.212379359579806187e-12,7.078738307817787482e-14
1.140147694941305440e-01,3.181104103178032144e-12,5.714345681466630557e-14
1.100660514183344901e-01,3.193636357827552808e-12,4.648441401235522944e-14
1.054736526654854178e-01,3.072606754055504089e-12,7.856387942842794443e-14
9.923436928898275722e-02,3.240736239325140126e-12,7.809297949714507864e-13
9.361211406500956345e-02,3.207929568798127934e-12,6.862274451139856242e-13
8.859291700702268124e-02,3.092931853547421902e-12,5.578174816678459901e-14
8.408466869755511219e-02,3.081556166524848264e-12,5.154945132399525514e-14
8.001311249640329082e-02,3.431003714976165915e-12,8.307163529307064959e-13
7.631771839464611407e-02,3.163480080623818231e-12,4.182216514632038850e-14
7.294865085060725507e-02,3.164253672773573985e-12,4.180270461389143171e-14
6.925905008774572991e-02,3.172467342564508811e-12,8.748418209768029257e-14
6.328094928581944056e-02,3.226042966634490987e-12,3.996476547169635410e-13
5.795217703266865306e-02,3.249238198526669925e-12,7.846601764028204282e-14
5.345156924223344597e-02,3.263179893053200475e-12,1.020261076502614857e-13
4.959990690342701292e-02,3.304038574139339283e-12,1.591970268208158162e-13
