Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
VERA,2.2e10,1e-3,0.246,0.024
EAVN/KaVA,2.2e10,1e-3,0.232,0.023
EAVN/KAVA,4.3e10,1e-3,0.404,0.039
VLBA,2.4e10,6e-4,0.211,0.021
VLBA,4.3e10,4e-4,0.254,0.024
Global VLBI,4.3e10,2.5e-4,0.279,0.027
GMVA+ALMA,8.6e10,2e-4,0.458,0.086
KVN,8.68e10, 1e-3,0.807,0.078
KVN,1.29e11, 1e-3, 0.84,0.26
ALMA,9.3e10,2.4,1.31,0.07
ALMA,2.21e11,0.85,2.43,0.24
SMA,2.21e11,3,2.94,0.15
EHT,2.3e11, 2e-5,1.725, 0.575
Kanata,2.4e14, 10, 5.18,0
Kanata,4.7e14,10,4.96,0
HST,1.27e15,0.1,1.92,0.96
AstroSat-UVIT,1.95e15,300,5.13,0
AstroSat-SXT,1.21e17,900,15,0
AstroSat-SXT,4.84e17,900,14.6,0
AstroSat-SXT,7.26e17,900,14.3,0
Swift-UVOT,5.48e14,3,10.5,4.1
Swift-UVOT,6.83e14,3,11.4,1.8
Swift-UVOT,8.65e14,3,5.22,0.82
Swift-UVOT,1.15e15,3,1.69,0.79
Swift-UVOT,1.33e15,3,4.45,0.54
Swift-UVOT,1.55e15,3,2.48,0.76
Swift-XRT,1.08e18,36,4.24,0
Chandra+NuSTAR,1.09e17,0.8,1.83,0.19
Chandra+NuSTAR,1.40e17,0.8,1.81,0.16
Chandra+NuSTAR,1.79e17,0.8,1.78,0.13
Chandra+NuSTAR,2.29e17,0.8,1.77,0.11
Chandra+NuSTAR,2.93e17,0.8,1.73,0.08
Chandra+NuSTAR,3.75e17,0.8,1.71,0.06
Chandra+NuSTAR,4.79e17,0.8,1.69,0.05
Chandra+NuSTAR,6.13e17,0.8,1.67,0.04
Chandra+NuSTAR,7.84e17,0.8,1.64,0.06
Chandra+NuSTAR,1.00e18,0.8,1.62,0.07
Chandra+NuSTAR,1.28e18,0.8,1.60,0.09
Chandra+NuSTAR,1.64e18,0.8,1.59,0.11
Chandra+NuSTAR,2.10e18,0.8,1.57,0.13
Chandra+NuSTAR,2.68e18,0.8,1.55,0.15
Chandra+NuSTAR,3.43e18,0.8,1.53,0.17
Chandra+NuSTAR,4.39e18,0.8,1.51,0.19
Chandra+NuSTAR,5.62e18,0.8,1.50,0.21
Chandra+NuSTAR,7.18e18,0.8,1.48,0.23
Chandra+NuSTAR,9.19e18,0.8,1.47,0.24
Chandra+NuSTAR,1.18e19,0.8,1.45,0.26
Fermi-LAT,4.31e22,7000,11.6,0
Fermi-LAT,1.18e23,4500,6.88,3.01
Fermi-LAT,2.79e23,2800,4.24,2.20
Fermi-LAT,6.63e23,1100,4.08,2.37
Fermi-LAT,1.57e24,700,6.04,0
Fermi-LAT,7.65e24,350,5.27,0
HESS,9.35e25,360,2.17,0.65
HESS,1.37e26,360,2.17,0.45
HESS,2e26,360,1.62,0.39
HESS,2.93e26,190,1.99,0.43
HESS,4.3e26,190,1.53,0.41
HESS,6.29e26,190,2.58,0.54
HESS,9.21e26,190,1.73,0.53
HESS,1.36e27,190,1.69,0.58
VERITAS,9.62e25,360,2.07,0.55
VERITAS,1.53e26,360,1.19,0.42
VERITAS,2.42e26,360,2.35,0.53
VERITAS,3.83e26,360,0.75,0.37
MAGIC,1.21e25,330,37.84,0
MAGIC,3.04e25,300,2.51,1.66
MAGIC,7.64e25,240,1.68,0.84
MAGIC,1.92e26,190,1.32,0.61
