# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
2.413352304037975071e-01,3.146584597278492923e-12,8.810514584995283029e-14
2.206966952738969590e-01,3.210297443854003524e-12,6.730120130614929943e-14
2.033116851134703917e-01,3.229959690813776737e-12,6.624534639463245175e-14
1.884667500110813743e-01,3.254334622599528498e-12,5.954837443796562723e-14
1.756429045127508026e-01,3.274163685418799002e-12,3.231164713697455443e-13
1.634803157982713528e-01,3.221107438241627932e-12,5.772359290044953628e-14
1.487708463344503129e-01,3.198254751335759308e-12,5.392709198820823031e-14
1.360280979494521703e-01,3.202454642010573675e-12,6.831613282384045722e-14
1.252970902273482512e-01,3.227482836571677492e-12,5.812950190801623300e-14
1.161360807093776704e-01,3.196741731378919772e-12,6.620158265209637136e-14
1.077698520419099470e-01,3.133121555941528852e-12,8.847928116662726670e-14
9.642324167699614645e-02,3.224332904061634030e-12,7.352882393719331346e-13
8.633879285228890366e-02,3.087244010036135083e-12,5.400764986539087852e-14
7.816541544552470244e-02,3.297241897799992881e-12,6.031679699687992190e-13
7.110385046917649943e-02,3.168360507669041398e-12,6.868289603698147088e-14
6.061656315924404681e-02,3.237640582580580254e-12,2.882222868172761169e-13
5.152573807283022944e-02,3.283609233596270081e-12,1.352548259784095775e-13
