Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
HST,520000000000000.0,0.8,2.55,0.21
HST,1100000000000000.0,0.8,1.8,0.26
