Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
AstroSat-SXT,1.21e17,900,15,0
AstroSat-SXT,4.84e17,900,14.6,0
AstroSat-SXT,7.26e17,900,14.3,0
Swift-XRT,1.08e18,36,4.24,0
Chandra+NuSTAR,1.09e17,0.4,1.83,0.19
Chandra+NuSTAR,1.40e17,0.4,1.81,0.16
Chandra+NuSTAR,1.79e17,0.4,1.78,0.13
Chandra+NuSTAR,2.29e17,0.4,1.77,0.11
Chandra+NuSTAR,2.93e17,0.4,1.73,0.08
Chandra+NuSTAR,3.75e17,0.4,1.71,0.06
Chandra+NuSTAR,4.79e17,0.4,1.69,0.05
Chandra+NuSTAR,6.13e17,0.4,1.67,0.04
Chandra+NuSTAR,7.84e17,0.4,1.64,0.06
Chandra+NuSTAR,1.00e18,0.4,1.62,0.07
Chandra+NuSTAR,1.28e18,0.4,1.60,0.09
Chandra+NuSTAR,1.64e18,0.4,1.59,0.11
Chandra+NuSTAR,2.10e18,0.4,1.57,0.13
Chandra+NuSTAR,2.68e18,0.4,1.55,0.15
Chandra+NuSTAR,3.43e18,0.4,1.53,0.17
Chandra+NuSTAR,4.39e18,0.4,1.51,0.19
Chandra+NuSTAR,5.62e18,0.4,1.50,0.21
Chandra+NuSTAR,7.18e18,0.4,1.48,0.23
Chandra+NuSTAR,9.19e18,0.4,1.47,0.24
Chandra+NuSTAR,1.18e19,0.4,1.45,0.26
