# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.605916289341816156e-02,6.271836177671535818e-14,2.213958170718052160e-14
5.607432426227667438e-02,9.259004001657406117e-14,3.268428412585064480e-14
5.608949383422915519e-02,4.650516374768456412e-14,1.641632280293265074e-14
5.610467161593485352e-02,5.694109153862931060e-14,2.010020531313614506e-14
5.611985761406027701e-02,7.732743141526298067e-14,2.729658328958783211e-14
5.613505183527908032e-02,7.292797320178489272e-14,2.574357454023006607e-14
5.615025428627217624e-02,6.268669269806315214e-14,2.212840252241629037e-14
5.616546497372772867e-02,8.250224884887008543e-14,2.912329384365113863e-14
5.618068390434114573e-02,7.075810240413688175e-14,2.497761014866031932e-14
5.619591108481507280e-02,6.936739048038977459e-14,2.448668883957758838e-14
5.621114652185944804e-02,2.286713337893827703e-13,8.072098082765210765e-14
5.622639022219148852e-02,5.415098135956174827e-14,1.911529641992529751e-14
5.624164219253569713e-02,1.975280703302394135e-13,6.972740882657451132e-14
5.625690243962386261e-02,3.416706379593820654e-13,1.206097351996618629e-13
5.627217097019507341e-02,8.842694712705943639e-14,3.121471233585198073e-14
5.628744779099577322e-02,5.709713385458470285e-14,2.015528825066839918e-14
5.630273290877971237e-02,8.057605823316388164e-14,2.844334855630684952e-14
5.631802633030797561e-02,9.600959985310125873e-14,3.389138874814474322e-14
5.633332806234899598e-02,6.818635688623867537e-14,2.406978398084225070e-14
5.634863811167854786e-02,6.641752701877478192e-14,2.344538703762749558e-14
5.636395648507983719e-02,1.223343859163190238e-13,4.318403822846061588e-14
5.637928318934339739e-02,7.224155810574395218e-14,2.550127001132761378e-14
5.639461823126714485e-02,1.008822242552523529e-13,3.561142516210407643e-14
5.640996161765638589e-02,8.734841040252177735e-14,3.083398887209018729e-14
5.642531335532387921e-02,1.649184248619810400e-13,5.821620397627929858e-14
5.644067345108979422e-02,6.257533046713542500e-14,2.208909165489880242e-14
5.645604191178168335e-02,1.840023995438290223e-13,6.495284703897163666e-14
5.647141874423458607e-02,7.249501138909692224e-14,2.559073902035121109e-14
5.648680395529095954e-02,8.290947207127784013e-14,2.926704364116107715e-14
5.650219755180073411e-02,1.983500629323444645e-13,7.001757221511759423e-14
5.651759954062130636e-02,8.199914252647282522e-14,2.894569731184490492e-14
5.653300992861755997e-02,2.450704495483242890e-13,8.650986869055847443e-14
5.654842872266184484e-02,5.417683501211305810e-14,1.912442275927590808e-14
5.656385592963404652e-02,7.505359346493737256e-14,2.649391849312289115e-14
5.657929155642152375e-02,2.439593285642290616e-14,8.611764298317285685e-15
5.659473560991917090e-02,4.723652067315483711e-14,1.667449179762365648e-14
5.661018809702941107e-02,8.862340814303454012e-14,3.128406307449118946e-14
5.662564902466222377e-02,1.785205945593975371e-13,6.301776987946733279e-14
5.664111839973511031e-02,2.021112397257871915e-13,7.134526762320287331e-14
5.665659622917315619e-02,1.640134576845631207e-13,5.789675056265077717e-14
5.667208251990898948e-02,1.505575822161786198e-13,5.314682652231104974e-14
5.668757727888287107e-02,2.328766611403176325e-13,8.220546138253212103e-14
5.670308051304261826e-02,3.029440361218655803e-13,1.069392447510185474e-13
5.671859222934363953e-02,1.084860341605954901e-13,3.829557005869020451e-14
5.673411243474899002e-02,6.562900975136311724e-14,2.316704044223117965e-14
5.674964113622930212e-02,9.496425335778121613e-14,3.352238143529676628e-14
5.676517834076291041e-02,3.913120613872042868e-13,1.381331576696831005e-13
5.678072405533573369e-02,1.253823775890338418e-13,4.425997928892894258e-14
5.679627828694135822e-02,1.288264322463617691e-13,4.547573058296570145e-14
5.681184104258106549e-02,2.242137013510388313e-13,7.914743657691670238e-14
5.682741232926377672e-02,1.783057623108149758e-13,6.294193409571768124e-14
5.684299215400612226e-02,1.479117223453170614e-13,5.221283798789691673e-14
5.685858052383240685e-02,7.860810394218425131e-14,2.774866069159103919e-14
5.687417744577467210e-02,6.434242331993490259e-14,2.271287543193701958e-14
5.688978292687265487e-02,6.872879440597157954e-14,2.426126442530796589e-14
5.690539697417382886e-02,4.953911070834246472e-14,1.748730608004488824e-14
5.692101959473339773e-02,5.084906049976743225e-14,1.794971835641790137e-14
5.693665079561433667e-02,6.968091214758505784e-14,2.459736198809752371e-14
5.695229058388737164e-02,6.071430129685125172e-14,2.143214835778848967e-14
5.696793896663097934e-02,8.794610620646026028e-14,3.104497549088046803e-14
5.698359595093143576e-02,1.527001807061696915e-13,5.390316378927789818e-14
5.699926154388282318e-02,6.502798898209202835e-14,2.295488011067848621e-14
