Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
Fermi-LAT,4.31e22,7000,11.6,0
Fermi-LAT,1.18e23,4500,6.88,3.01
Fermi-LAT,2.79e23,2800,4.24,2.20
Fermi-LAT,6.63e23,1100,4.08,2.37
Fermi-LAT,1.57e24,700,6.04,0
Fermi-LAT,7.65e24,350,5.27,0
HESS,9.35e25,360,2.17,0.65
HESS,1.37e26,360,2.17,0.45
HESS,2e26,360,1.62,0.39
HESS,2.93e26,190,1.99,0.43
HESS,4.3e26,190,1.53,0.41
HESS,6.29e26,190,2.58,0.54
HESS,9.21e26,190,1.73,0.53
HESS,1.36e27,190,1.69,0.58
VERITAS,9.62e25,360,2.07,0.55
VERITAS,1.53e26,360,1.19,0.42
VERITAS,2.42e26,360,2.35,0.53
VERITAS,3.83e26,360,0.75,0.37
MAGIC,1.21e25,330,37.84,0
MAGIC,3.04e25,300,2.51,1.66
MAGIC,7.64e25,240,1.68,0.84
MAGIC,1.92e26,190,1.32,0.61
