# E_low [keV], E_up [keV], diff. flux [photons/s/cm^2/keV]
8.109610578538408721e-01,8.165823713585924626e-01,1.095254846561376921e-02
8.165823713585924626e-01,8.222426499470711914e-01,8.417898689200811052e-03
8.222426499470711914e-01,8.279421637123342004e-01,1.157007992001789914e-02
8.279421637123342004e-01,8.336811846196343634e-01,9.584895925719726095e-03
8.336811846196343634e-01,8.394599865193974608e-01,8.527894545114931765e-03
8.394599865193974608e-01,8.452788451602899489e-01,8.932330726707089080e-03
8.452788451602899489e-01,8.511380382023765456e-01,8.430380474436144356e-03
8.511380382023765456e-01,8.570378452303697436e-01,8.812919875346165999e-03
8.570378452303697436e-01,8.629785477669703608e-01,9.157716201616698803e-03
8.629785477669703608e-01,8.689604292863019053e-01,1.524799681835425566e-02
8.689604292863019053e-01,8.749837752274362002e-01,6.844348549754320291e-03
8.749837752274362002e-01,8.810488730080142661e-01,9.580457593117682261e-03
8.810488730080142661e-01,8.871560120379610170e-01,1.122231071125675411e-02
8.871560120379610170e-01,8.933054837332954357e-01,7.776101560090936844e-03
8.933054837332954357e-01,8.994975815300353394e-01,9.909610892012069364e-03
8.994975815300353394e-01,9.057326008982002907e-01,9.863033424576761118e-03
9.057326008982002907e-01,9.120108393559096527e-01,8.444607495673554093e-03
9.120108393559096527e-01,9.183325964835807875e-01,2.238375211468908096e-02
9.183325964835807875e-01,9.246981739382225118e-01,9.891277264611829378e-03
9.246981739382225118e-01,9.311078754678302483e-01,8.649189744387622558e-03
9.311078754678302483e-01,9.375620069258802092e-01,1.376395677523396983e-02
9.375620069258802092e-01,9.440608762859232783e-01,9.814998308177684885e-03
9.440608762859232783e-01,9.506047936562814771e-01,1.134507962568370026e-02
9.506047936562814771e-01,9.571940712948443508e-01,1.426348124011970857e-02
9.571940712948443508e-01,9.638290236239704933e-01,2.267508402878698828e-02
9.638290236239704933e-01,9.705099672454896576e-01,1.507894420344062410e-02
9.705099672454896576e-01,9.772372209558106704e-01,8.821836328821146961e-03
9.772372209558106704e-01,9.840111057611337086e-01,8.680364981604625149e-03
9.840111057611337086e-01,9.908319448927676021e-01,1.130813270286772261e-02
9.908319448927676021e-01,9.977000638225532736e-01,1.630103557641309278e-02
9.977000638225532736e-01,1.004615790278395204e+00,1.160691945313294636e-02
1.004615790278395204e+00,1.011579454259898814e+00,3.239954635235333530e-02
1.011579454259898814e+00,1.018591388054116864e+00,4.042456592694690376e-02
1.018591388054116864e+00,1.025651926251407886e+00,1.060903208988867030e-02
1.025651926251407886e+00,1.032761405761397411e+00,1.288889169761722915e-02
1.032761405761397411e+00,1.039920165829059551e+00,1.334353210576723174e-02
1.039920165829059551e+00,1.047128548050899610e+00,1.161946408086029885e-02
1.047128548050899610e+00,1.054386896391259265e+00,6.603346361749923288e-02
1.054386896391259265e+00,1.061695557198724771e+00,7.810305496449783218e-03
1.061695557198724771e+00,1.069054879222657739e+00,7.223855521598430626e-03
1.069054879222657739e+00,1.076465213629834938e+00,1.174240210435976463e-02
1.076465213629834938e+00,1.083926914021203336e+00,2.565795266088522278e-02
1.083926914021203336e+00,1.091440336448756598e+00,8.551412154224925788e-03
1.091440336448756598e+00,1.099005839432520837e+00,1.100288592286235295e-02
1.099005839432520837e+00,1.106623783977666475e+00,3.177030080459375405e-02
1.106623783977666475e+00,1.114294533591729808e+00,4.765304952391205551e-03
1.114294533591729808e+00,1.122018454301963564e+00,2.723275462401485852e-02
1.122018454301963564e+00,1.129795914672797608e+00,2.174903851853362061e-02
1.129795914672797608e+00,1.137627285823431089e+00,4.876240989022840623e-03
1.137627285823431089e+00,1.145512941445535393e+00,5.048426334947210548e-03
1.145512941445535393e+00,1.153453257821092315e+00,5.340944408182233920e-03
1.153453257821092315e+00,1.161448613840342592e+00,1.231511838829176843e-02
1.161448613840342592e+00,1.169499391019871215e+00,2.056691351359335451e-02
1.169499391019871215e+00,1.177605973520807314e+00,3.581003878454819007e-03
1.177605973520807314e+00,1.185768748167160158e+00,3.872578173870917448e-03
1.185768748167160158e+00,1.193988104464273059e+00,3.340502312826253584e-03
1.193988104464273059e+00,1.202264434617413169e+00,4.372863670989897596e-03
1.202264434617413169e+00,1.210598133550482292e+00,4.389123712548486343e-03
1.210598133550482292e+00,1.218989598924866691e+00,3.155892634370664057e-03
1.218989598924866691e+00,1.227439231158407251e+00,3.226928604208906867e-03
1.227439231158407251e+00,1.235947433444510635e+00,1.770872482122720290e-02
1.235947433444510635e+00,1.244514611771385004e+00,4.086136252219758729e-03
1.244514611771385004e+00,1.253141174941416303e+00,3.088361867628415698e-03
1.253141174941416303e+00,1.261827534590670652e+00,3.340138202523552056e-03
1.261827534590670652e+00,1.270574105208541971e+00,3.413965455906350574e-03
1.270574105208541971e+00,1.279381304157524601e+00,3.527661266121096591e-03
1.279381304157524601e+00,1.288249551693134265e+00,2.679126719409084378e-03
1.288249551693134265e+00,1.297179270983956023e+00,3.341068615704015539e-03
1.297179270983956023e+00,1.306170888131841679e+00,3.467517144754414440e-03
1.306170888131841679e+00,1.315224832192238402e+00,5.168654626062382448e-03
1.315224832192238402e+00,1.324341535194665020e+00,9.006137996166202475e-03
1.324341535194665020e+00,1.333521432163323972e+00,2.907459118804249249e-03
1.333521432163323972e+00,1.342764961137864255e+00,3.889736685268647357e-03
1.342764961137864255e+00,1.352072563194277155e+00,3.456916505940292247e-03
1.352072563194277155e+00,1.361444682465950295e+00,2.727714767215405362e-03
1.361444682465950295e+00,1.370881766164853577e+00,3.929173044067757470e-03
1.370881766164853577e+00,1.380384264602885214e+00,4.548282602069428880e-03
1.380384264602885214e+00,1.389952631213353218e+00,3.664414869498074621e-03
1.389952631213353218e+00,1.399587322572618531e+00,2.565656731344212980e-03
1.399587322572618531e+00,1.409288798421874711e+00,5.068907089479633872e-03
